Model,Method,F1,ROC-AUC,PR-AUC,Precision,Recall
Random Forest,none,0.868,0.958,0.951,0.963,0.791
Random Forest,weights,0.865,0.96,0.953,0.964,0.785
Gradient Boosting,none,0.864,0.954,0.949,0.935,0.804
Gradient Boosting,weights,0.864,0.954,0.949,0.935,0.804
SVM (RBF),none,0.858,0.939,0.926,0.911,0.81
SVM (RBF),weights,0.855,0.94,0.924,0.877,0.834
Decision Tree,weights,0.845,0.912,0.887,0.841,0.849
Decision Tree,none,0.844,0.916,0.888,0.869,0.82
Logistic Regression,weights,0.684,0.755,0.602,0.625,0.757
Logistic Regression,none,0.537,0.756,0.607,0.613,0.477
