student_id,engagement_score,test1_grade,persona_quadrant,persona_kmeans,lifespan,outcome
0,-0.5958,0,Disengaged,Low eng / low grades,4,Completed
1,-0.5923,0,Disengaged,Low eng / low grades,1,Left after Test 1
2,0.7223,4,Engaged achiever,High eng / high grades,4,Administrative dropout
3,-1.1271,4,Detached achiever,Low eng / high grades,4,Completed
4,1.0343,0,Engaged struggler,High eng / low grades,2,Left after Test 2
5,-0.426,4,Detached achiever,Low eng / high grades,4,Administrative dropout
6,-0.1086,1,Disengaged,Low eng / low grades,1,Left after Test 1
7,-0.3921,0,Disengaged,Low eng / low grades,3,Left after Test 3
8,0.9462,0,Engaged struggler,High eng / low grades,4,Completed
9,-0.0198,0,Disengaged,Low eng / low grades,4,Administrative dropout
10,-1.1409,1,Disengaged,Low eng / low grades,1,Left after Test 1
11,0.0288,0,Engaged struggler,Low eng / low grades,4,Completed
12,-0.0473,2,Disengaged,Low eng / low grades,4,Completed
13,0.0895,0,Engaged struggler,High eng / low grades,4,Completed
14,-1.0531,4,Detached achiever,Low eng / high grades,4,Completed
15,0.3846,1,Engaged struggler,High eng / low grades,4,Completed
16,0.7541,1,Engaged struggler,High eng / low grades,4,Completed
17,-0.0699,2,Disengaged,Low eng / low grades,4,Completed
18,0.1799,0,Engaged struggler,High eng / low grades,4,Administrative dropout
19,-0.104,2,Disengaged,Low eng / low grades,2,Left after Test 2
20,0.8387,2,Engaged struggler,High eng / low grades,4,Completed
21,0.5363,0,Engaged struggler,High eng / low grades,4,Completed
22,-0.2115,0,Disengaged,Low eng / low grades,1,Left after Test 1
23,-0.4591,3,Detached achiever,Low eng / high grades,1,Left after Test 1
24,0.0365,0,Engaged struggler,Low eng / low grades,4,Completed
25,0.0751,3,Engaged achiever,High eng / high grades,4,Completed
26,-0.6665,1,Disengaged,Low eng / low grades,1,Left after Test 1
27,0.9817,1,Engaged struggler,High eng / low grades,4,Completed
28,-0.3371,3,Detached achiever,Low eng / high grades,4,Completed
29,-0.751,4,Detached achiever,Low eng / high grades,3,Left after Test 3
30,-0.9307,4,Detached achiever,Low eng / high grades,4,Completed
31,0.2889,3,Engaged achiever,High eng / high grades,4,Completed
32,-0.1391,2,Disengaged,Low eng / low grades,4,Completed
33,0.0528,4,Engaged achiever,High eng / high grades,4,Completed
34,1.0958,3,Engaged achiever,High eng / high grades,4,Completed
35,-0.161,0,Disengaged,Low eng / low grades,4,Completed
36,0.3659,0,Engaged struggler,High eng / low grades,4,Completed
37,-0.4578,4,Detached achiever,Low eng / high grades,3,Left after Test 3
38,-0.2918,0,Disengaged,Low eng / low grades,4,Administrative dropout
39,-0.5493,4,Detached achiever,Low eng / high grades,4,Completed
40,0.8981,2,Engaged struggler,High eng / low grades,4,Completed
41,-0.7279,4,Detached achiever,Low eng / high grades,4,Administrative dropout
42,-0.6156,0,Disengaged,Low eng / low grades,4,Completed
43,-0.3761,1,Disengaged,Low eng / low grades,4,Completed
44,0.3234,2,Engaged struggler,High eng / low grades,4,Administrative dropout
45,-0.9802,4,Detached achiever,Low eng / high grades,4,Completed
46,-0.2118,3,Detached achiever,Low eng / high grades,4,Completed
47,0.3465,1,Engaged struggler,High eng / low grades,4,Completed
48,0.2922,4,Engaged achiever,High eng / high grades,4,Completed
49,-0.6793,4,Detached achiever,Low eng / high grades,4,Administrative dropout
